Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;5,67;-1,7;-9,710645161;-14,71129032;-16,56178571;-8,469677419;-2,112666667;3,536774194;6,184333333;12,93096774;13,49290323;9,497
-0,5;5,156666667;-0,112;-6,730967742;-12,28225806;-14,46571429;-8,263548387;-2,722333333;0,989354839;4,144666667;9,969677419;11,47774194;8,651666667
-0,75;4,609666667;0,595666667;-3,920645161;-9,877741935;-12,40071429;-7,958064516;-3,090666667;-0,108064516;2,096666667;7,205483871;9,459032258;7,678
-1;4,028333333;0,767333333;-1,700322581;-7,512903226;-10,38714286;-7,540322581;-3,332666667;-0,403870968;0,512333333;4,620322581;7,440322581;6,586
-1,5;2,782333333;0,799333333;0,054516129;-2,948064516;-6,539642857;-6,444516129;-3,587;-0,809032258;-0,257333333;0,526774194;3,464193548;4,172
-2;1,470333333;0,577666667;0,096451613;-0,192580645;-2,956428571;-5,126774194;-3,612;-1,152580645;-0,469666667;-0,207096774;0,287741935;1,619666667
-2,5;0,139666667;0,217;0,077419355;0,059677419;-0,2625;-3,764516129;-3,478666667;-1,428709677;-0,659666667;-0,348387097;-0,172580645;-0,062
-3;-0,111666667;-0,084666667;-0,068387097;-0,06;-0,0525;-2,596774194;-3,239;-1,62483871;-0,824333333;-0,476129032;-0,276451613;-0,165666667
-3,5;-0,173333333;-0,138;-0,116774194;-0,10516129;-0,1;-1,895483871;-2,938666667;-1,748064516;-0,96;-0,589354839;-0,371612903;-0,244333333
-4;-0,232333333;-0,185333333;-0,157419355;-0,138387097;-0,126428571;-1,391290323;-2,604666667;-1,800967742;-1,065666667;-0,686774194;-0,458064516;-0,317333333
-4,5;-0,288333333;-0,232;-0,195806452;-0,170967742;-0,154642857;-1,022903226;-2,266333333;-1,79516129;-1,140666667;-0,767096774;-0,532903226;-0,383333333
-5;-0,339333333;-0,275666667;-0,232903226;-0,202258065;-0,181785714;-0,759677419;-1,942;-1,741290323;-1,188666667;-0,831612903;-0,598387097;-0,443333333
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;3,528333333;-1,579;-8,632580645;-13,13967742;-15,16035714;-8,050645161;-2,451666667;1,794516129;3,631;8,050645161;8,36;5,871
-0,5;3,07;-0,218;-5,891935484;-10,88935484;-13,65214286;-8,316129032;-3,059666667;0,174516129;1,985666667;5,732580645;6,74483871;5,098333333
-0,75;2,594;0,293666667;-3,299032258;-8,656774194;-12,19357143;-8,487741935;-3,5;-0,508064516;0,496666667;3,518387097;5,13;4,247666667
-1;2,097666667;0,351;-1,31516129;-6,468387097;-10,81071429;-8,54483871;-3,862;-0,876129032;-0,171333333;1,47483871;3,527741935;3,330666667
-1,5;1,066666667;0,288666667;0,075483871;-2,303548387;-8,317142857;-8,365483871;-4,398;-1,520967742;-0,607666667;-0,236129032;0,539677419;1,382
-2;0,082666667;0,094;0,040322581;-0,238064516;-6,246428571;-7,874516129;-4,720333333;-2,057419355;-0,999666667;-0,546129032;-0,25516129;-0,071333333
-2,5;-0,200333333;-0,150333333;-0,125806452;-0,159677419;-4,606785714;-7,182258065;-4,869666667;-2,492903226;-1,355666667;-0,832903226;-0,500645161;-0,301333333
-3;-0,369;-0,295;-0,253225806;-0,239677419;-3,3875;-6,385483871;-4,866;-2,826451613;-1,666;-1,095483871;-0,730645161;-0,501666667
-3,5;-0,532;-0,437333333;-0,378387097;-0,342258065;-2,506071429;-5,565483871;-4,752333333;-3,068387097;-1,936;-1,332258065;-0,94483871;-0,69
-4;-0,688333333;-0,575333333;-0,500322581;-0,449354839;-1,905357143;-4,78;-4,551333333;-3,221935484;-2,158;-1,542258065;-1,139032258;-0,867333333
-4,5;-0,835;-0,707666667;-0,619677419;-0,556451613;-1,510357143;-4,063548387;-4,289666667;-3,298064516;-2,333;-1,72516129;-1,316774194;-1,031666667
-5;-0,974;-0,833666667;-0,733225806;-0,66;-1,262142857;-3,438387097;-3,993333333;-3,308064516;-2,463666667;-1,879354839;-1,470967742;-1,182666667
Depth (m);October;November;December;January;February;March;April;May;June;July;August;September
Ground surface temperature (°C);6,148333333;-4,020666667;-12,89225806;-17,21032258;-18,67071429;-8,534193548;-0,493333333;7,497096774;8,181666667;16,28645161;15,49741935;10,18966667
-0,25;3,122;-0,982;-6,376129032;-9,858709677;-11,28071429;-6,029354839;-1,696;1,577419355;3,124333333;7,101612903;7,378387097;5,188333333
-0,5;2,703333333;0,007666667;-4,040322581;-7,935806452;-9,801428571;-6,108064516;-2,149333333;0,181290323;1,672666667;5,001935484;5,901290323;4,471
-0,75;2,270333333;0,277333333;-1,897419355;-6,029032258;-8,356785714;-6,115483871;-2,451;-0,331935484;0,376;2,992903226;4,426129032;3,685666667
-1;1,819333333;0,3;-0,511935484;-4,155483871;-6,971785714;-6,044516129;-2,686666667;-0,556129032;-0,125333333;1,150645161;2,959354839;2,844666667
-1,5;0,881;0,229333333;0,087419355;-0,81483871;-4,419642857;-5,7;-3,007333333;-0,940967742;-0,377333333;-0,163548387;0,306129032;1,073
-2;0,013333333;0,052;0,029354839;0,017741935;-2,298214286;-5,157096774;-3,165333333;-1,26516129;-0,6;-0,332258065;-0,173225806;-0,078
-2,5;-0,135;-0,108666667;-0,093870968;-0,08483871;-1,353928571;-4,509677419;-3,192666667;-1,526774194;-0,801;-0,486129032;-0,298387097;-0,191333333
